Equation;Variable domains;Variables;Equation-Description;Taxonomy-Domain;Taxonomy-Subdomain;Taxonomy-Specific;Equation_Full
I.50.26;$\omega \in [1.0,3.0]$;$\omega$: frequency;Nonlinear oscillation;Physics;Classical Mechanics;Nonlinear Dynamics;I.50.26
I.50.26;$\mathit{t} \in [1.0,3.0]$;$t$: time;Nonlinear oscillation;Physics;Classical Mechanics;Nonlinear Dynamics;I.50.26
I.50.26;$\alpha \in [1.0,3.0]$;$\alpha$: nonlinearity param;Nonlinear oscillation;Physics;Classical Mechanics;Nonlinear Dynamics;I.50.26
II.2.42;$\kappa \in [1.0,5.0]$;$\kappa$: thermal conductivity;Heat flow (Fourier's law);Physics;Thermodynamics;Heat Transfer;II.2.42
II.2.42;$\mathit{T1} \in [1.0,5.0]$;$T_1$: temperature at cold side;Heat flow (Fourier's law);Physics;Thermodynamics;Heat Transfer;II.2.42
II.2.42;$\mathit{T2} \in [1.0,5.0]$;$T_2$: temperature at hot side;Heat flow (Fourier's law);Physics;Thermodynamics;Heat Transfer;II.2.42
II.2.42;$\mathit{A} \in [1.0,5.0]$;$A$: cross-sectional area;Heat flow (Fourier's law);Physics;Thermodynamics;Heat Transfer;II.2.42
II.2.42;$\mathit{d} \in [1.0,5.0]$;$d$: material thickness;Heat flow (Fourier's law);Physics;Thermodynamics;Heat Transfer;II.2.42
II.3.24;$\mathit{Pwr} \in [1.0,5.0]$;$Pwr$: total power;Intensity from point source (inverse square law);Physics;Wave Mechanics;Intensity;II.3.24
II.3.24;$\mathit{r} \in [1.0,5.0]$;$r$: distance;Intensity from point source (inverse square law);Physics;Wave Mechanics;Intensity;II.3.24
II.4.23;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Electric potential from point charge;Physics;Electromagnetism;Electric Potential;II.4.23
II.4.23;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Electric potential from point charge;Physics;Electromagnetism;Electric Potential;II.4.23
II.4.23;$\mathit{r} \in [1.0,5.0]$;$r$: distance;Electric potential from point charge;Physics;Electromagnetism;Electric Potential;II.4.23
II.6.11;$\mathit{p_d} \in [1.0,3.0]$;$p_d$: electric dipole moment;Electric potential from dipole;Physics;Electromagnetism;Dipole Field;II.6.11
II.6.11;$\epsilon \in [1.0,3.0]$;$\epsilon$: permittivity of medium;Electric potential from dipole;Physics;Electromagnetism;Dipole Field;II.6.11
II.6.11;$\mathit{r} \in [1.0,3.0]$;$r$: distance from dipole;Electric potential from dipole;Physics;Electromagnetism;Dipole Field;II.6.11
II.6.11;$\theta \in [1.0,3.0]$;$\theta$: angle from dipole axis;Electric potential from dipole;Physics;Electromagnetism;Dipole Field;II.6.11
II.6.15a;$\mathit{p_d} \in [1.0,3.0]$;$p_d$: electric dipole moment;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15a;$\epsilon \in [1.0,3.0]$;$\epsilon$: permittivity of medium;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15a;$\mathit{x} \in [1.0,3.0]$;$x$: Cartesian x-coordinate;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15a;$\mathit{y} \in [1.0,3.0]$;$y$: Cartesian y-coordinate;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15a;$\mathit{z} \in [1.0,3.0]$;$z$: Cartesian z-coordinate;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15a;$\mathit{r} \in [1.0,3.0]$;$r$: radial distance from dipole;Electric field component from dipole (cylindrical coords);Physics;Electromagnetism;Dipole Field;II.6.15a
II.6.15b;$\mathit{p_d} \in [1.0,3.0]$;$p_d$: electric dipole moment;Electric field from dipole (spherical coords);Physics;Electromagnetism;Dipole Field;II.6.15b
II.6.15b;$\epsilon \in [1.0,3.0]$;$\epsilon$: permittivity of medium;Electric field from dipole (spherical coords);Physics;Electromagnetism;Dipole Field;II.6.15b
II.6.15b;$\mathit{r} \in [1.0,3.0]$;$r$: radial distance from dipole;Electric field from dipole (spherical coords);Physics;Electromagnetism;Dipole Field;II.6.15b
II.6.15b;$\theta \in [1.0,3.0]$;$\theta$: polar angle from dipole axis;Electric field from dipole (spherical coords);Physics;Electromagnetism;Dipole Field;II.6.15b
II.8.7;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Capacitance of spherical conductor;Physics;Electromagnetism;Capacitance;II.8.7
II.8.7;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Capacitance of spherical conductor;Physics;Electromagnetism;Capacitance;II.8.7
II.8.7;$\mathit{d} \in [1.0,5.0]$;$d$: radius;Capacitance of spherical conductor;Physics;Electromagnetism;Capacitance;II.8.7
II.8.31;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: electric field magnitude;Electric field energy density;Physics;Electromagnetism;Energy Density;II.8.31
II.8.31;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of medium;Electric field energy density;Physics;Electromagnetism;Energy Density;II.8.31
II.10.9;$\sigma_{den}\in [1.0,5.0]$;$\sigma_{den}$: charge density;Electric field in dielectric;Physics;Electromagnetism;Dielectric Materials;II.10.9
II.10.9;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Electric field in dielectric;Physics;Electromagnetism;Dielectric Materials;II.10.9
II.10.9;$\chi \in [1.0,5.0]$;$\chi$: susceptibility;Electric field in dielectric;Physics;Electromagnetism;Dielectric Materials;II.10.9
II.11.3;$\mathit{Ef} \in [1.0,3.0]$;$Ef$: driving electric field;Driven harmonic oscillator amplitude;Physics;Classical Mechanics;Forced Oscillation;II.11.3
II.11.3;$\mathit{q} \in [1.0,3.0]$;$q$: particle charge;Driven harmonic oscillator amplitude;Physics;Classical Mechanics;Forced Oscillation;II.11.3
II.11.3;$\mathit{m} \in [1.0,3.0]$;$m$: particle mass;Driven harmonic oscillator amplitude;Physics;Classical Mechanics;Forced Oscillation;II.11.3
II.11.3;$\omega_0 \in [3.0,5.0]$;$\omega_0$: natural frequency;Driven harmonic oscillator amplitude;Physics;Classical Mechanics;Forced Oscillation;II.11.3
II.11.3;$\omega \in [1.0,2.0]$;$\omega$: driving frequency;Driven harmonic oscillator amplitude;Physics;Classical Mechanics;Forced Oscillation;II.11.3
II.11.17;$\mathit{n_0} \in [1.0,3.0]$;$n_0$: reference number density;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.17;$\mathit{Ef} \in [1.0,3.0]$;$Ef$: applied electric field;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.17;$\mathit{p_d} \in [1.0,3.0]$;$p_d$: molecular dipole moment;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.17;$\mathit{T} \in [1.0,3.0]$;$T$: absolute temperature;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.17;$\mathit{kb} \in [1.0,3.0]$;$kb$: Boltzmann constant;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.17;$\theta \in [1.0,3.0]$;$\theta$: angle between field and dipole;Polarization density (Langevin function approximation);Physics;Electromagnetism;Polarization;II.11.17
II.11.20;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: applied electric field;Polarization (electric susceptibility);Physics;Electromagnetism;Polarization;II.11.20
II.11.20;$n_{\rho} \in [1.0,5.0]$;$n_{\rho}$: molecular number density;Polarization (electric susceptibility);Physics;Electromagnetism;Polarization;II.11.20
II.11.20;$\mathit{p_d} \in [1.0,5.0]$;$p_d$: molecular dipole moment;Polarization (electric susceptibility);Physics;Electromagnetism;Polarization;II.11.20
II.11.20;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Polarization (electric susceptibility);Physics;Electromagnetism;Polarization;II.11.20
II.11.20;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Polarization (electric susceptibility);Physics;Electromagnetism;Polarization;II.11.20
II.11.27;$\mathit{Ef} \in [1.0,2.0]$;$Ef$: applied electric field;Clausius-Mossotti relation (polarization);Physics;Electromagnetism;Dielectric Materials;II.11.27
II.11.27;$\mathit{n} \in [0.0,1.0]$;$n$: molecular number density;Clausius-Mossotti relation (polarization);Physics;Electromagnetism;Dielectric Materials;II.11.27
II.11.27;$\alpha \in [0.0,1.0]$;$\alpha$: molecular polarizability;Clausius-Mossotti relation (polarization);Physics;Electromagnetism;Dielectric Materials;II.11.27
II.11.27;$\epsilon \in [1.0,2.0]$;$\epsilon$: permittivity of vacuum;Clausius-Mossotti relation (polarization);Physics;Electromagnetism;Dielectric Materials;II.11.27
II.11.28;$\alpha \in [0.0,1.0]$;$\alpha$: molecular polarizability;Dielectric constant from polarizability;Physics;Electromagnetism;Dielectric Materials;II.11.28
II.11.28;$\mathit{n} \in [0.0,1.0]$;$n$: molecular number density;Dielectric constant from polarizability;Physics;Electromagnetism;Dielectric Materials;II.11.28
II.13.17;$\mathit{I} \in [1.0,5.0]$;$I$: electric current;Magnetic field from current (Biot-Savart);Physics;Electromagnetism;Magnetic Field;II.13.17
II.13.17;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Magnetic field from current (Biot-Savart);Physics;Electromagnetism;Magnetic Field;II.13.17
II.13.17;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of vacuum;Magnetic field from current (Biot-Savart);Physics;Electromagnetism;Magnetic Field;II.13.17
II.13.17;$\mathit{r} \in [1.0,5.0]$;$r$: distance from wire;Magnetic field from current (Biot-Savart);Physics;Electromagnetism;Magnetic Field;II.13.17
II.13.23;$\rho_{c_0} \in [1.0,5.0]$;$\rho_{c_0}$: rest charge density;Relativistic charge density;Physics;Relativity;Charge Density;II.13.23
II.13.23;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic charge density;Physics;Relativity;Charge Density;II.13.23
II.13.23;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Relativistic charge density;Physics;Relativity;Charge Density;II.13.23
II.13.34;$\rho_{c_0} \in [1.0,5.0]$;$\rho_{c_0}$: rest charge density;Relativistic current density;Physics;Relativity;Current Density;II.13.34
II.13.34;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic current density;Physics;Relativity;Current Density;II.13.34
II.13.34;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Relativistic current density;Physics;Relativity;Current Density;II.13.34
II.15.4;$\mathit{B} \in [1.0,5.0]$;$B$: magnetic field strength;Magnetic dipole potential energy;Physics;Electromagnetism;Magnetic Dipole;II.15.4
II.15.4;$\mathit{mom} \in [1.0,5.0]$;$mom$: magnetic dipole moment;Magnetic dipole potential energy;Physics;Electromagnetism;Magnetic Dipole;II.15.4
II.15.4;$\theta \in [1.0,5.0]$;$\theta$: angle between field and moment;Magnetic dipole potential energy;Physics;Electromagnetism;Magnetic Dipole;II.15.4
II.15.5;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: electric field strength;Electric dipole potential energy;Physics;Electromagnetism;Electric Dipole;II.15.5
II.15.5;$\mathit{p_d} \in [1.0,5.0]$;$p_d$: electric dipole moment;Electric dipole potential energy;Physics;Electromagnetism;Electric Dipole;II.15.5
II.15.5;$\theta \in [1.0,5.0]$;$\theta$: angle between field and dipole;Electric dipole potential energy;Physics;Electromagnetism;Electric Dipole;II.15.5
II.21.32;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Liénard-Wiechert potential (moving charge);Physics;Electromagnetism;Retarded Potential;II.21.32
II.21.32;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Liénard-Wiechert potential (moving charge);Physics;Electromagnetism;Retarded Potential;II.21.32
II.21.32;$\mathit{r} \in [1.0,5.0]$;$r$: distance;Liénard-Wiechert potential (moving charge);Physics;Electromagnetism;Retarded Potential;II.21.32
II.21.32;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Liénard-Wiechert potential (moving charge);Physics;Electromagnetism;Retarded Potential;II.21.32
II.21.32;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Liénard-Wiechert potential (moving charge);Physics;Electromagnetism;Retarded Potential;II.21.32
II.24.17;$\omega \in [4.0,6.0]$;$\omega$: frequency;Wave number in waveguide;Engineering;Electrical Engineering;Waveguide Theory;II.24.17
II.24.17;$\mathit{c} \in [1.0,2.0]$;$c$: wave speed;Wave number in waveguide;Engineering;Electrical Engineering;Waveguide Theory;II.24.17
II.24.17;$\mathit{d} \in [2.0,4.0]$;$d$: waveguide dimension;Wave number in waveguide;Engineering;Electrical Engineering;Waveguide Theory;II.24.17
II.27.16;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: electric field amplitude;Poynting vector magnitude;Physics;Electromagnetism;Energy Flow;II.27.16
II.27.16;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Poynting vector magnitude;Physics;Electromagnetism;Energy Flow;II.27.16
II.27.16;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of medium;Poynting vector magnitude;Physics;Electromagnetism;Energy Flow;II.27.16
II.27.18;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: electric field amplitude;Electric energy flux;Physics;Electromagnetism;Energy Density;II.27.18
II.27.18;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of medium;Electric energy flux;Physics;Electromagnetism;Energy Density;II.27.18
II.34.2a;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Magnetic dipole moment (current loop);Physics;Electromagnetism;Magnetic Moment;II.34.2a
II.34.2a;$\mathit{v} \in [1.0,5.0]$;$v$: velocity;Magnetic dipole moment (current loop);Physics;Electromagnetism;Magnetic Moment;II.34.2a
II.34.2a;$\mathit{r} \in [1.0,5.0]$;$r$: radius;Magnetic dipole moment (current loop);Physics;Electromagnetism;Magnetic Moment;II.34.2a
II.34.2;$\mathit{q} \in [1.0,5.0]$;$q$: particle charge;Magnetic moment (orbiting charge);Physics;Electromagnetism;Magnetic Moment;II.34.2
II.34.2;$\mathit{r} \in [1.0,5.0]$;$r$: orbital radius;Magnetic moment (orbiting charge);Physics;Electromagnetism;Magnetic Moment;II.34.2
II.34.2;$\mathit{v} \in [1.0,5.0]$;$v$: orbital velocity;Magnetic moment (orbiting charge);Physics;Electromagnetism;Magnetic Moment;II.34.2
II.34.11;$\mathit{B} \in [1.0,5.0]$;$B$: magnetic field strength;Larmor precession frequency;Physics;Quantum Mechanics;Spin Precession;II.34.11
II.34.11;$\mathit{\_} \in [1.0,5.0]$;$g$: Landé g-factor;Larmor precession frequency;Physics;Quantum Mechanics;Spin Precession;II.34.11
II.34.11;$\mathit{q} \in [1.0,5.0]$;$q$: particle charge;Larmor precession frequency;Physics;Quantum Mechanics;Spin Precession;II.34.11
II.34.11;$\mathit{m} \in [1.0,5.0]$;$m$: particle mass;Larmor precession frequency;Physics;Quantum Mechanics;Spin Precession;II.34.11
II.34.29a;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Bohr magneton;Physics;Quantum Mechanics;Magnetic Moment;II.34.29a
II.34.29a;$\mathit{q} \in [1.0,5.0]$;$q$: electron charge;Bohr magneton;Physics;Quantum Mechanics;Magnetic Moment;II.34.29a
II.34.29a;$\mathit{m} \in [1.0,5.0]$;$m$: electron mass;Bohr magneton;Physics;Quantum Mechanics;Magnetic Moment;II.34.29a
II.34.29b;$\mathit{B} \in [1.0,5.0]$;$B$: applied magnetic field;Zeeman effect energy splitting;Physics;Quantum Mechanics;Atomic Spectroscopy;II.34.29b
II.34.29b;$\mathit{Jz} \in [1.0,5.0]$;$Jz$: z-component of angular momentum;Zeeman effect energy splitting;Physics;Quantum Mechanics;Atomic Spectroscopy;II.34.29b
II.34.29b;$\mathit{\_} \in [1.0,5.0]$;$g$: Landé g-factor;Zeeman effect energy splitting;Physics;Quantum Mechanics;Atomic Spectroscopy;II.34.29b
II.34.29b;$\mathit{mom} \in [1.0,5.0]$;$mom$: Bohr magneton;Zeeman effect energy splitting;Physics;Quantum Mechanics;Atomic Spectroscopy;II.34.29b
II.34.29b;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Zeeman effect energy splitting;Physics;Quantum Mechanics;Atomic Spectroscopy;II.34.29b
II.35.18;$\mathit{n_0} \in [1.0,3.0]$;$n_0$: total number density;Paramagnetism (Brillouin function approx);Physics;Solid State Physics;Magnetism;II.35.18
II.35.18;$\mathit{B} \in [1.0,3.0]$;$B$: applied magnetic field;Paramagnetism (Brillouin function approx);Physics;Solid State Physics;Magnetism;II.35.18
II.35.18;$\mathit{mom} \in [1.0,3.0]$;$mom$: magnetic moment per particle;Paramagnetism (Brillouin function approx);Physics;Solid State Physics;Magnetism;II.35.18
II.35.18;$\mathit{T} \in [1.0,3.0]$;$T$: absolute temperature;Paramagnetism (Brillouin function approx);Physics;Solid State Physics;Magnetism;II.35.18
II.35.18;$\mathit{kb} \in [1.0,3.0]$;$kb$: Boltzmann constant;Paramagnetism (Brillouin function approx);Physics;Solid State Physics;Magnetism;II.35.18
II.35.21;$\mathit{mom} \in [1.0,5.0]$;$mom$: magnetic moment per particle;Magnetization (Langevin function);Physics;Solid State Physics;Magnetization;II.35.21
II.35.21;$n_{\rho} \in [1.0,5.0]$;$n_{\rho}$: particle number density;Magnetization (Langevin function);Physics;Solid State Physics;Magnetization;II.35.21
II.35.21;$\mathit{B} \in [1.0,5.0]$;$B$: applied magnetic field;Magnetization (Langevin function);Physics;Solid State Physics;Magnetization;II.35.21
II.35.21;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Magnetization (Langevin function);Physics;Solid State Physics;Magnetization;II.35.21
II.35.21;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Magnetization (Langevin function);Physics;Solid State Physics;Magnetization;II.35.21
II.36.38;$\mathit{H} \in [1.0,3.0]$;$H$: applied magnetic field;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\mathit{M} \in [1.0,3.0]$;$M$: magnetization;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\mathit{mom} \in [1.0,3.0]$;$mom$: magnetic moment per particle;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\mathit{T} \in [1.0,3.0]$;$T$: absolute temperature;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\mathit{kb} \in [1.0,3.0]$;$kb$: Boltzmann constant;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\alpha \in [1.0,3.0]$;$\alpha$: magneto-electric coupling constant;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\epsilon \in [1.0,3.0]$;$\epsilon$: permittivity of medium;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.36.38;$\mathit{c} \in [1.0,3.0]$;$c$: speed of light;Magnetization with electric contribution;Physics;Solid State Physics;Magneto-Electric Coupling;II.36.38
II.37.1;$\mathit{B} \in [1.0,5.0]$;$B$: applied magnetic field;Magnetic field in material;Physics;Solid State Physics;Magnetic Materials;II.37.1
II.37.1;$\mathit{mom} \in [1.0,5.0]$;$mom$: magnetic moment per particle;Magnetic field in material;Physics;Solid State Physics;Magnetic Materials;II.37.1
II.37.1;$\chi \in [1.0,5.0]$;$\chi$: magnetic susceptibility;Magnetic field in material;Physics;Solid State Physics;Magnetic Materials;II.37.1
II.38.3;$\mathit{Y} \in [1.0,5.0]$;$Y$: Young's modulus;Hooke's law for stress/strain (force);Engineering;Mechanical Engineering;Elasticity;II.38.3
II.38.3;$\mathit{A} \in [1.0,5.0]$;$A$: cross-sectional area;Hooke's law for stress/strain (force);Engineering;Mechanical Engineering;Elasticity;II.38.3
II.38.3;$\mathit{x} \in [1.0,5.0]$;$x$: elongation (extension);Hooke's law for stress/strain (force);Engineering;Mechanical Engineering;Elasticity;II.38.3
II.38.3;$\mathit{d} \in [1.0,5.0]$;$d$: original length;Hooke's law for stress/strain (force);Engineering;Mechanical Engineering;Elasticity;II.38.3
II.38.14;$\mathit{Y} \in [1.0,5.0]$;$Y$: Young's modulus;Shear modulus from Young's modulus;Engineering;Mechanical Engineering;Material Properties;II.38.14
II.38.14;$\sigma \in [1.0,5.0]$;$\sigma$: Poisson's ratio;Shear modulus from Young's modulus;Engineering;Mechanical Engineering;Material Properties;II.38.14
III.4.32;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Bose-Einstein distribution;Physics;Statistical Mechanics;Quantum Statistics;III.4.32
III.4.32;$\omega \in [1.0,5.0]$;$\omega$: angular frequency;Bose-Einstein distribution;Physics;Statistical Mechanics;Quantum Statistics;III.4.32
III.4.32;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Bose-Einstein distribution;Physics;Statistical Mechanics;Quantum Statistics;III.4.32
III.4.32;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Bose-Einstein distribution;Physics;Statistical Mechanics;Quantum Statistics;III.4.32
III.4.33;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Average energy (Bose-Einstein statistics);Physics;Statistical Mechanics;Quantum Statistics;III.4.33
III.4.33;$\omega \in [1.0,5.0]$;$\omega$: angular frequency;Average energy (Bose-Einstein statistics);Physics;Statistical Mechanics;Quantum Statistics;III.4.33
III.4.33;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Average energy (Bose-Einstein statistics);Physics;Statistical Mechanics;Quantum Statistics;III.4.33
III.4.33;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Average energy (Bose-Einstein statistics);Physics;Statistical Mechanics;Quantum Statistics;III.4.33
III.7.38;$\mathit{B} \in [1.0,5.0]$;$B$: magnetic field;Gyromagnetic ratio times field;Physics;Quantum Mechanics;Spin Dynamics;III.7.38
III.7.38;$\mathit{mom} \in [1.0,5.0]$;$mom$: magnetic dipole moment;Gyromagnetic ratio times field;Physics;Quantum Mechanics;Spin Dynamics;III.7.38
III.7.38;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Gyromagnetic ratio times field;Physics;Quantum Mechanics;Spin Dynamics;III.7.38
III.8.54;$\mathit{E_n} \in [1.0,2.0]$;$E_n$: energy;Quantum transition probability (time-dependent);Physics;Quantum Mechanics;Time Evolution;III.8.54
III.8.54;$\mathit{t} \in [1.0,2.0]$;$t$: time;Quantum transition probability (time-dependent);Physics;Quantum Mechanics;Time Evolution;III.8.54
III.8.54;$\mathit{h} \in [1.0,4.0]$;$h$: Planck's constant;Quantum transition probability (time-dependent);Physics;Quantum Mechanics;Time Evolution;III.8.54
III.9.52;$\mathit{Ef} \in [1.0,3.0]$;$Ef$: electric field amplitude;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.9.52;$\mathit{p_d} \in [1.0,3.0]$;$p_d$: electric dipole moment;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.9.52;$\omega \in [1.0,5.0]$;$\omega$: driving frequency;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.9.52;$\omega_0 \in [1.0,5.0]$;$\omega_0$: resonance frequency;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.9.52;$\mathit{t} \in [1.0,3.0]$;$t$: time;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.9.52;$\mathit{h} \in [1.0,3.0]$;$h$: Planck's constant;Rabi oscillation transition rate;Physics;Quantum Mechanics;Quantum Optics;III.9.52
III.10.19;$\mathit{mom} \in [1.0,5.0]$;$mom$: magnetic dipole moment;Energy in 3D magnetic field;Physics;Quantum Mechanics;Zeeman Energy;III.10.19
III.10.19;$\mathit{Bx} \in [1.0,5.0]$;$Bx$: x-component of magnetic field;Energy in 3D magnetic field;Physics;Quantum Mechanics;Zeeman Energy;III.10.19
III.10.19;$\mathit{By} \in [1.0,5.0]$;$By$: y-component of magnetic field;Energy in 3D magnetic field;Physics;Quantum Mechanics;Zeeman Energy;III.10.19
III.10.19;$\mathit{Bz} \in [1.0,5.0]$;$Bz$: z-component of magnetic field;Energy in 3D magnetic field;Physics;Quantum Mechanics;Zeeman Energy;III.10.19
III.12.43;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Quantized angular momentum;Physics;Quantum Mechanics;Angular Momentum;III.12.43
III.12.43;$\mathit{n} \in [1.0,5.0]$;$n$: principal quantum number;Quantized angular momentum;Physics;Quantum Mechanics;Angular Momentum;III.12.43
III.13.18;$\mathit{E_n} \in [1.0,5.0]$;$E_n$: energy;Fermi's golden rule (transition rate);Physics;Quantum Mechanics;Perturbation Theory;III.13.18
III.13.18;$\mathit{d} \in [1.0,5.0]$;$d$: matrix element;Fermi's golden rule (transition rate);Physics;Quantum Mechanics;Perturbation Theory;III.13.18
III.13.18;$\mathit{k} \in [1.0,5.0]$;$k$: density of states;Fermi's golden rule (transition rate);Physics;Quantum Mechanics;Perturbation Theory;III.13.18
III.13.18;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Fermi's golden rule (transition rate);Physics;Quantum Mechanics;Perturbation Theory;III.13.18
III.14.14;$\mathit{I_0} \in [1.0,5.0]$;$I_0$: saturation current;Shockley diode equation;Engineering;Electrical Engineering;Semiconductor Devices;III.14.14
III.14.14;$\mathit{Volt} \in [1.0,2.0]$;$Volt$: applied voltage;Shockley diode equation;Engineering;Electrical Engineering;Semiconductor Devices;III.14.14
III.14.14;$\mathit{q} \in [1.0,2.0]$;$q$: elementary charge;Shockley diode equation;Engineering;Electrical Engineering;Semiconductor Devices;III.14.14
III.14.14;$\mathit{T} \in [1.0,2.0]$;$T$: absolute temperature;Shockley diode equation;Engineering;Electrical Engineering;Semiconductor Devices;III.14.14
III.14.14;$\mathit{kb} \in [1.0,2.0]$;$kb$: Boltzmann constant;Shockley diode equation;Engineering;Electrical Engineering;Semiconductor Devices;III.14.14
III.15.12;$\mathit{U} \in [1.0,5.0]$;$U$: coupling energy;Tight-binding dispersion relation;Physics;Solid State Physics;Band Structure;III.15.12
III.15.12;$\mathit{k} \in [1.0,5.0]$;$k$: wave vector;Tight-binding dispersion relation;Physics;Solid State Physics;Band Structure;III.15.12
III.15.12;$\mathit{d} \in [1.0,5.0]$;$d$: lattice constant;Tight-binding dispersion relation;Physics;Solid State Physics;Band Structure;III.15.12
III.15.14;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Effective mass in quantum well;Physics;Quantum Mechanics;Quantum Confinement;III.15.14
III.15.14;$\mathit{E_n} \in [1.0,5.0]$;$E_n$: energy;Effective mass in quantum well;Physics;Quantum Mechanics;Quantum Confinement;III.15.14
III.15.14;$\mathit{d} \in [1.0,5.0]$;$d$: well width;Effective mass in quantum well;Physics;Quantum Mechanics;Quantum Confinement;III.15.14
III.15.27;$\alpha \in [1.0,5.0]$;$\alpha$: lattice parameter;Reciprocal lattice vector;Physics;Solid State Physics;Crystallography;III.15.27
III.15.27;$\mathit{n} \in [1.0,5.0]$;$n$: Miller index;Reciprocal lattice vector;Physics;Solid State Physics;Crystallography;III.15.27
III.15.27;$\mathit{d} \in [1.0,5.0]$;$d$: spacing;Reciprocal lattice vector;Physics;Solid State Physics;Crystallography;III.15.27
III.17.37;$\beta \in [1.0,5.0]$;$\beta$: amplitude parameter;Angular modulation function;Mathematics;Applied Mathematics;Signal Processing;III.17.37
III.17.37;$\alpha \in [1.0,5.0]$;$\alpha$: modulation depth;Angular modulation function;Mathematics;Applied Mathematics;Signal Processing;III.17.37
