EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman36,FeynmanICh34Eq14,I.34.14,Relativistic Doppler shift,Physics,Relativity,Doppler Effect,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman36,FeynmanICh34Eq14,I.34.14,Relativistic Doppler shift,Physics,Relativity,Doppler Effect,c,$c$,$c$: speed of light,"\omega_0 \in [1.0,5.0]","$\omega_0 \in [1.0,5.0]$"
Feynman37,FeynmanICh34Eq27,I.34.27,Photon energy (quantum mechanics),Physics,Quantum Mechanics,Photon Energy,h,$h$,$h$: Planck's constant,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman37,FeynmanICh34Eq27,I.34.27,Photon energy (quantum mechanics),Physics,Quantum Mechanics,Photon Energy,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,I1,$I_1$,$I_1$: intensity of wave 1,"I_1 \in [1.0,5.0]","$I_1 \in [1.0,5.0]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,I2,$I_2$,$I_2$: intensity of wave 2,"I_2 \in [1.0,5.0]","$I_2 \in [1.0,5.0]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,delta,$\delta$,$\delta$: phase difference between waves,"\delta \in [1.0,5.0]","$\delta \in [1.0,5.0]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,m,$m$,$m$: electron mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,q,$q$,$q$: electron charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,epsilon,$\epsilon$,$\epsilon$: permittivity of vacuum,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman40,FeynmanICh39Eq10,I.39.1,Internal energy of monatomic ideal gas,Physics,Thermodynamics,Ideal Gas,V,$V$,$V$: gas volume,"V \in [1.0,5.0]","$V \in [1.0,5.0]$"
Feynman40,FeynmanICh39Eq10,I.39.1,Internal energy of monatomic ideal gas,Physics,Thermodynamics,Ideal Gas,pr,$pr$,$pr$: gas pressure,"pr \in [1.0,5.0]","$pr \in [1.0,5.0]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,V,$V$,$V$: gas volume,"V \in [1.0,5.0]","$V \in [1.0,5.0]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,pr,$pr$,$pr$: gas pressure,"pr \in [1.0,5.0]","$pr \in [1.0,5.0]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,gamma,$\gamma$,$\gamma$: heat capacity ratio $C_p/C_v$,"\gamma \in [2.0,5.0]","$\gamma \in [2.0,5.0]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,n,$n$,$n$: number of molecules,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,V,$V$,$V$: gas volume,"V \in [1.0,5.0]","$V \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,n0,$n_0$,$n_0$: reference density,"n_0 \in [1.0,5.0]","$n_0 \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,m,$m$,$m$: molecular mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,x,$x$,$x$: height,"x \in [1.0,5.0]","$x \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,T,$T$,$T$: temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,g,$g$,$g$: gravity,"g \in [1.0,5.0]","$g \in [1.0,5.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,omega,$\omega$,$\omega$: angular frequency of radiation,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,mudrift,$\mu_{drift}$,$\mu_{drift}$: drift mobility,"\mu_{drift} \in [1.0,5.0]","$\mu_{drift} \in [1.0,5.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,Volt,$Volt$,$Volt$: voltage,"Volt \in [1.0,5.0]","$Volt \in [1.0,5.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,d,$d$,$d$: distance,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman46,FeynmanICh43Eq31,I.43.31,Einstein relation (diffusion coefficient),Physics,Statistical Mechanics,Transport Phenomena,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman46,FeynmanICh43Eq31,I.43.31,Einstein relation (diffusion coefficient),Physics,Statistical Mechanics,Transport Phenomena,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman46,FeynmanICh43Eq31,I.43.31,Einstein relation (diffusion coefficient),Physics,Statistical Mechanics,Transport Phenomena,mob,$mob$,$mob$: carrier mobility,"mob \in [1.0,5.0]","$mob \in [1.0,5.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,v,$v$,$v$: mean molecular velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,A,$A$,$A$: molecular cross-section,"A \in [1.0,5.0]","$A \in [1.0,5.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,gamma,$\gamma$,$\gamma$: heat capacity ratio,"\gamma \in [2.0,5.0]","$\gamma \in [2.0,5.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,n,$n$,$n$: number of particles,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,V1,$V_1$,$V_1$: initial volume,"V_1 \in [1.0,5.0]","$V_1 \in [1.0,5.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,V2,$V_2$,$V_2$: final volume,"V_2 \in [1.0,5.0]","$V_2 \in [1.0,5.0]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,gamma,$\gamma$,$\gamma$: heat capacity ratio,"\gamma \in [1.0,5.0]","$\gamma \in [1.0,5.0]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,pr,$pr$,$pr$: pressure,"pr \in [1.0,5.0]","$pr \in [1.0,5.0]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,rho,$\rho$,$\rho$: density,"\rho \in [1.0,5.0]","$\rho \in [1.0,5.0]$"
Feynman50,FeynmanICh48Eq2,I.48.2,Relativistic energy (E=mc²/y),Physics,Relativity,Mass-Energy Equivalence,m,$m$,$m$: rest mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman50,FeynmanICh48Eq2,I.48.2,Relativistic energy (E=mc²/y),Physics,Relativity,Mass-Energy Equivalence,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman50,FeynmanICh48Eq2,I.48.2,Relativistic energy (E=mc²/y),Physics,Relativity,Mass-Energy Equivalence,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,x1,$x_1$,$x_1$: amplitude,"x_1 \in [1.0,3.0]","$x_1 \in [1.0,3.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,omega,$\omega$,$\omega$: frequency,"\omega \in [1.0,3.0]","$\omega \in [1.0,3.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,t,$t$,$t$: time,"t \in [1.0,3.0]","$t \in [1.0,3.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,alpha,$\alpha$,$\alpha$: nonlinearity param,"\alpha \in [1.0,3.0]","$\alpha \in [1.0,3.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,kappa,$\kappa$,$\kappa$: thermal conductivity,"\kappa \in [1.0,5.0]","$\kappa \in [1.0,5.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,T1,$T_1$,$T_1$: temperature at cold side,"T_1 \in [1.0,5.0]","$T_1 \in [1.0,5.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,T2,$T_2$,$T_2$: temperature at hot side,"T_2 \in [1.0,5.0]","$T_2 \in [1.0,5.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,A,$A$,$A$: cross-sectional area,"A \in [1.0,5.0]","$A \in [1.0,5.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,d,$d$,$d$: material thickness,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman53,FeynmanIICh3Eq24,II.3.24,Intensity from point source (inverse square law),Physics,Wave Mechanics,Intensity,Pwr,$Pwr$,$Pwr$: total power,"Pwr \in [1.0,5.0]","$Pwr \in [1.0,5.0]$"
Feynman53,FeynmanIICh3Eq24,II.3.24,Intensity from point source (inverse square law),Physics,Wave Mechanics,Intensity,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman54,FeynmanIICh4Eq23,II.4.23,Electric potential from point charge,Physics,Electromagnetism,Electric Potential,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman54,FeynmanIICh4Eq23,II.4.23,Electric potential from point charge,Physics,Electromagnetism,Electric Potential,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman54,FeynmanIICh4Eq23,II.4.23,Electric potential from point charge,Physics,Electromagnetism,Electric Potential,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,pd,$p_d$,$p_d$: electric dipole moment,"p_d \in [1.0,3.0]","$p_d \in [1.0,3.0]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,3.0]","$\epsilon \in [1.0,3.0]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,r,$r$,$r$: distance from dipole,"r \in [1.0,3.0]","$r \in [1.0,3.0]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,theta,$\theta$,$\theta$: angle from dipole axis,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,pd,$p_d$,$p_d$: electric dipole moment,"p_d \in [1.0,3.0]","$p_d \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,3.0]","$\epsilon \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x,$x$,$x$: Cartesian x-coordinate,"x \in [1.0,3.0]","$x \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,y,$y$,$y$: Cartesian y-coordinate,"y \in [1.0,3.0]","$y \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,z,$z$,$z$: Cartesian z-coordinate,"z \in [1.0,3.0]","$z \in [1.0,3.0]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,r,$r$,$r$: radial distance from dipole,"r \in [1.0,3.0]","$r \in [1.0,3.0]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,pd,$p_d$,$p_d$: electric dipole moment,"p_d \in [1.0,3.0]","$p_d \in [1.0,3.0]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,3.0]","$\epsilon \in [1.0,3.0]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,r,$r$,$r$: radial distance from dipole,"r \in [1.0,3.0]","$r \in [1.0,3.0]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,theta,$\theta$,$\theta$: polar angle from dipole axis,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman58,FeynmanIICh8Eq7,II.8.7,Capacitance of spherical conductor,Physics,Electromagnetism,Capacitance,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman58,FeynmanIICh8Eq7,II.8.7,Capacitance of spherical conductor,Physics,Electromagnetism,Capacitance,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman58,FeynmanIICh8Eq7,II.8.7,Capacitance of spherical conductor,Physics,Electromagnetism,Capacitance,d,$d$,$d$: radius,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman59,FeynmanIICh8Eq31,II.8.31,Electric field energy density,Physics,Electromagnetism,Energy Density,Ef,$Ef$,$Ef$: electric field magnitude,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman59,FeynmanIICh8Eq31,II.8.31,Electric field energy density,Physics,Electromagnetism,Energy Density,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman60,FeynmanIICh10Eq9,II.10.9,Electric field in dielectric,Physics,Electromagnetism,Dielectric Materials,sigmaden,$\sigma_{den}$,$\sigma_{den}$: charge density,"\sigma_{den}\in [1.0,5.0]","$\sigma_{den}\in [1.0,5.0]$"
Feynman60,FeynmanIICh10Eq9,II.10.9,Electric field in dielectric,Physics,Electromagnetism,Dielectric Materials,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman60,FeynmanIICh10Eq9,II.10.9,Electric field in dielectric,Physics,Electromagnetism,Dielectric Materials,chi,$\chi$,$\chi$: susceptibility,"\chi \in [1.0,5.0]","$\chi \in [1.0,5.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,Ef,$Ef$,$Ef$: driving electric field,"Ef \in [1.0,3.0]","$Ef \in [1.0,3.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,q,$q$,$q$: particle charge,"q \in [1.0,3.0]","$q \in [1.0,3.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,m,$m$,$m$: particle mass,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,omega0,$\omega_0$,$\omega_0$: natural frequency,"\omega_0 \in [3.0,5.0]","$\omega_0 \in [3.0,5.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,omega,$\omega$,$\omega$: driving frequency,"\omega \in [1.0,2.0]","$\omega \in [1.0,2.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,n0,$n_0$,$n_0$: reference number density,"n_0 \in [1.0,3.0]","$n_0 \in [1.0,3.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [1.0,3.0]","$Ef \in [1.0,3.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,pd,$p_d$,$p_d$: molecular dipole moment,"p_d \in [1.0,3.0]","$p_d \in [1.0,3.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,T,$T$,$T$: absolute temperature,"T \in [1.0,3.0]","$T \in [1.0,3.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,3.0]","$kb \in [1.0,3.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,theta,$\theta$,$\theta$: angle between field and dipole,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,nrho,$n_{\rho}$,$n_{\rho}$: molecular number density,"n_{\rho} \in [1.0,5.0]","$n_{\rho} \in [1.0,5.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,pd,$p_d$,$p_d$: molecular dipole moment,"p_d \in [1.0,5.0]","$p_d \in [1.0,5.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [1.0,2.0]","$Ef \in [1.0,2.0]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,n,$n$,$n$: molecular number density,"n \in [0.0,1.0]","$n \in [0.0,1.0]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,alpha,$\alpha$,$\alpha$: molecular polarizability,"\alpha \in [0.0,1.0]","$\alpha \in [0.0,1.0]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,epsilon,$\epsilon$,$\epsilon$: permittivity of vacuum,"\epsilon \in [1.0,2.0]","$\epsilon \in [1.0,2.0]$"
Feynman65,FeynmanIICh11Eq28,II.11.28,Dielectric constant from polarizability,Physics,Electromagnetism,Dielectric Materials,alpha,$\alpha$,$\alpha$: molecular polarizability,"\alpha \in [0.0,1.0]","$\alpha \in [0.0,1.0]$"
Feynman65,FeynmanIICh11Eq28,II.11.28,Dielectric constant from polarizability,Physics,Electromagnetism,Dielectric Materials,n,$n$,$n$: molecular number density,"n \in [0.0,1.0]","$n \in [0.0,1.0]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,I,$I$,$I$: electric current,"I \in [1.0,5.0]","$I \in [1.0,5.0]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,epsilon,$\epsilon$,$\epsilon$: permittivity of vacuum,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,r,$r$,$r$: distance from wire,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman67,FeynmanIICh13Eq23,II.13.23,Relativistic charge density,Physics,Relativity,Charge Density,rhoc0,$\rho_{c_0}$,$\rho_{c_0}$: rest charge density,"\rho_{c_0} \in [1.0,5.0]","$\rho_{c_0} \in [1.0,5.0]$"
Feynman67,FeynmanIICh13Eq23,II.13.23,Relativistic charge density,Physics,Relativity,Charge Density,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman67,FeynmanIICh13Eq23,II.13.23,Relativistic charge density,Physics,Relativity,Charge Density,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman68,FeynmanIICh13Eq34,II.13.34,Relativistic current density,Physics,Relativity,Current Density,rhoc0,$\rho_{c_0}$,$\rho_{c_0}$: rest charge density,"\rho_{c_0} \in [1.0,5.0]","$\rho_{c_0} \in [1.0,5.0]$"
Feynman68,FeynmanIICh13Eq34,II.13.34,Relativistic current density,Physics,Relativity,Current Density,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman68,FeynmanIICh13Eq34,II.13.34,Relativistic current density,Physics,Relativity,Current Density,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,B,$B$,$B$: magnetic field strength,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,mom,$mom$,$mom$: magnetic dipole moment,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
