EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable_Key,Variable_Name,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,x0,q,$q$,$q$: particle charge,"q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]","$q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,x1,v,$v$,$v$: particle velocity,"v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]","$v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,x2,B,$B$,$B$: magnetic field strength,"B \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$B \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,x3,p,$p$,$p$: particle momentum,"p \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]","$p \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]$"
Feynman36,FeynmanICh34Eq14,I.34.14,Relativistic Doppler shift,Physics,Relativity,Doppler Effect,x0,v,$v$,$v$: velocity,"v \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]","$v \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]$"
Feynman36,FeynmanICh34Eq14,I.34.14,Relativistic Doppler shift,Physics,Relativity,Doppler Effect,x1,omega_0,$\omega_0$,$\omega_0$: rest frequency,"\omega_0 \in [1000000000.0, 100000000000.0]","$\omega_0 \in [1000000000.0, 100000000000.0]$"
Feynman37,FeynmanICh34Eq27,I.34.27,Photon energy (quantum mechanics),Physics,Quantum Mechanics,Photon Energy,x0,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1000000000.0, 100000000000.0]","$\omega \in [1000000000.0, 100000000000.0]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,x0,I1,$I_1$,$I_1$: intensity of wave 1,"I_1 \in [0.001, 0.1]","$I_1 \in [0.001, 0.1]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,x1,I2,$I_2$,$I_2$: intensity of wave 2,"I_2 \in [0.001, 0.1]","$I_2 \in [0.001, 0.1]$"
Feynman38,FeynmanICh37Eq4,I.37.4,Interference of two waves,Physics,Optics,Wave Interference,x2,delta,$\delta$,$\delta$: phase difference between waves,"\delta \in [0, 2.0 \times \pi]","$\delta \in [0, 2.0 \times \pi]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,x0,m,$m$,$m$: electron mass,"m \in [1e-28, 1e-26]","$m \in [1e-28, 1e-26]$"
Feynman39,FeynmanICh38Eq12,I.38.12,Bohr radius (atomic physics),Physics,Quantum Mechanics,Atomic Structure,x1,q,$q$,$q$: electron charge,"q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]","$q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]$"
Feynman40,FeynmanICh39Eq10,I.39.1,Internal energy of monatomic ideal gas,Physics,Thermodynamics,Ideal Gas,x0,pr,$pr$,$pr$: gas pressure,"pr \in [10000.0, 1000000.0]","$pr \in [10000.0, 1000000.0]$"
Feynman40,FeynmanICh39Eq10,I.39.1,Internal energy of monatomic ideal gas,Physics,Thermodynamics,Ideal Gas,x1,V,$V$,$V$: gas volume,"V \in [1e-05, 0.001]","$V \in [1e-05, 0.001]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,x0,gamma,$\gamma$,$\gamma$: heat capacity ratio $C_p/C_v$,"\gamma \in [1, 2]","$\gamma \in [1, 2]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,x1,pr,$pr$,$pr$: gas pressure,"pr \in [10000.0, 1000000.0]","$pr \in [10000.0, 1000000.0]$"
Feynman41,FeynmanICh39Eq11,I.39.11,Internal energy of ideal gas,Physics,Thermodynamics,Ideal Gas,x2,V,$V$,$V$: gas volume,"V \in [1e-05, 0.001]","$V \in [1e-05, 0.001]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,x0,n,$n$,$n$: number of molecules,"n \in [1e+23, 1e+25]","$n \in [1e+23, 1e+25]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,x1,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman42,FeynmanICh39Eq22,I.39.22,Ideal gas law (pressure),Physics,Thermodynamics,Gas Laws,x2,V,$V$,$V$: gas volume,"V \in [1e-05, 0.001]","$V \in [1e-05, 0.001]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,x0,n_0,$n_0$,$n_0$: reference density,"n_0 \in [1e+25, 1e+27]","$n_0 \in [1e+25, 1e+27]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,x1,m,$m$,$m$: molecular mass,"m \in [1e-24, 1e-22]","$m \in [1e-24, 1e-22]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,x2,x,$x$,$x$: height,"x \in [-1.0, -0.01] \cup [0.01, 1.0]","$x \in [-1.0, -0.01] \cup [0.01, 1.0]$"
Feynman43,FeynmanICh40Eq1,I.40.1,Barometric formula (atmospheric pressure),Physics,Fluid Dynamics,Atmospheric Physics,x3,T,$T$,$T$: temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,x0,omega,$\omega$,$\omega$: angular frequency of radiation,"\omega \in [0.1, 10.0]","$\omega \in [0.1, 10.0]$"
Feynman44,FeynmanICh41Eq16,I.41.16,Planck's law (blackbody radiation),Physics,Quantum Mechanics,Blackbody Radiation,x1,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,x0,mu_drift,$\mu_{drift}$,$\mu_{drift}$: drift mobility,"\mu_{drift} \in [-0.0001, -1e-06] \cup [1e-06, 0.0001]","$\mu_{drift} \in [-0.0001, -1e-06] \cup [1e-06, 0.0001]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,x1,q,$q$,$q$: charge,"q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]","$q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,x2,Volt,$Volt$,$Volt$: voltage,"Volt \in [-10.0, -0.1] \cup [0.1, 10.0]","$Volt \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman45,FeynmanICh43Eq16,I.43.16,Drift current,Physics,Solid State Physics,Charge Transport,x3,d,$d$,$d$: distance,"d \in [0.001, 0.1]","$d \in [0.001, 0.1]$"
Feynman46,FeynmanICh43Eq31,I.43.31,Einstein relation (diffusion coefficient),Physics,Statistical Mechanics,Transport Phenomena,x0,mob,$mob$,$mob$: carrier mobility,"mob \in [10000000000000.0, 1000000000000000.0]","$mob \in [10000000000000.0, 1000000000000000.0]$"
Feynman46,FeynmanICh43Eq31,I.43.31,Einstein relation (diffusion coefficient),Physics,Statistical Mechanics,Transport Phenomena,x1,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,x0,gamma,$\gamma$,$\gamma$: heat capacity ratio,"\gamma \in [1, 2]","$\gamma \in [1, 2]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,x1,v,$v$,$v$: mean molecular velocity,"v \in [100.0, 10000.0]","$v \in [100.0, 10000.0]$"
Feynman47,FeynmanICh43Eq43,I.43.43,Mean free path in gas,Physics,Statistical Mechanics,Kinetic Theory,x2,A,$A$,$A$: molecular cross-section,"A \in [1e-21, 1e-19]","$A \in [1e-21, 1e-19]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,x0,n,$n$,$n$: number of particles,"n \in [1e+24, 1e+26]","$n \in [1e+24, 1e+26]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,x1,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,x2,V2,$V_2$,$V_2$: final volume,"V_2 \in [1e-05, 0.001]","$V_2 \in [1e-05, 0.001]$"
Feynman48,FeynmanICh44Eq4,I.44.4,Entropy change in isothermal expansion,Physics,Thermodynamics,Entropy,x3,V1,$V_1$,$V_1$: initial volume,"V_1 \in [1e-05, 0.001]","$V_1 \in [1e-05, 0.001]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,x0,gamma,$\gamma$,$\gamma$: heat capacity ratio,"\gamma \in [1, 2]","$\gamma \in [1, 2]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,x1,pr,$pr$,$pr$: pressure,"pr \in [5e-06, 1.5e-05]","$pr \in [5e-06, 1.5e-05]$"
Feynman49,FeynmanICh47Eq23,I.47.23,Speed of sound in gas,Physics,Fluid Dynamics,Acoustics,x2,rho,$\rho$,$\rho$: density,"\rho \in [1, 2]","$\rho \in [1, 2]$"
Feynman50,FeynmanICh48Eq2,I.48.2,Relativistic energy (E=mc²/y),Physics,Relativity,Mass-Energy Equivalence,x0,m,$m$,$m$: rest mass,"m \in [1e-29, 1e-27]","$m \in [1e-29, 1e-27]$"
Feynman50,FeynmanICh48Eq2,I.48.2,Relativistic energy (E=mc²/y),Physics,Relativity,Mass-Energy Equivalence,x1,v,$v$,$v$: velocity,"v \in [1000000.0, 100000000.0]","$v \in [1000000.0, 100000000.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,x0,x1,$x_1$,$x_1$: amplitude,"x_1 \in [0.1, 10.0]","$x_1 \in [0.1, 10.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,x1,omega,$\omega$,$\omega$: frequency,"\omega \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$\omega \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,x2,t,$t$,$t$: time,"t \in [0.001, 0.1]","$t \in [0.001, 0.1]$"
Feynman51,FeynmanICh50Eq26,I.50.26,Nonlinear oscillation,Physics,Classical Mechanics,Nonlinear Dynamics,x3,alpha,$\alpha$,$\alpha$: nonlinearity param,"\alpha \in [-0.1, -0.001] \cup [0.001, 0.1]","$\alpha \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,x0,kappa,$\kappa$,$\kappa$: thermal conductivity,"\kappa \in [0.1, 10.0]","$\kappa \in [0.1, 10.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,x1,T2,$T_2$,$T_2$: temperature at hot side,"T_2 \in [10.0, 1000.0]","$T_2 \in [10.0, 1000.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,x2,T1,$T_1$,$T_1$: temperature at cold side,"T_1 \in [10.0, 1000.0]","$T_1 \in [10.0, 1000.0]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,x3,A,$A$,$A$: cross-sectional area,"A \in [0.0001, 0.01]","$A \in [0.0001, 0.01]$"
Feynman52,FeynmanIICh2Eq42,II.2.42,Heat flow (Fourier's law),Physics,Thermodynamics,Heat Transfer,x4,d,$d$,$d$: material thickness,"d \in [0.01, 1.0]","$d \in [0.01, 1.0]$"
Feynman53,FeynmanIICh3Eq24,II.3.24,Intensity from point source (inverse square law),Physics,Wave Mechanics,Intensity,x0,Pwr,$Pwr$,$Pwr$: total power,"Pwr \in [-100.0, -1.0] \cup [1.0, 100.0]","$Pwr \in [-100.0, -1.0] \cup [1.0, 100.0]$"
Feynman53,FeynmanIICh3Eq24,II.3.24,Intensity from point source (inverse square law),Physics,Wave Mechanics,Intensity,x1,r,$r$,$r$: distance,"r \in [0.01, 1.0]","$r \in [0.01, 1.0]$"
Feynman54,FeynmanIICh4Eq23,II.4.23,Electric potential from point charge,Physics,Electromagnetism,Electric Potential,x0,q,$q$,$q$: charge,"q \in [-0.1, -0.001] \cup [0.001, 0.1]","$q \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman54,FeynmanIICh4Eq23,II.4.23,Electric potential from point charge,Physics,Electromagnetism,Electric Potential,x1,r,$r$,$r$: distance,"r \in [0.01, 1.0]","$r \in [0.01, 1.0]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,x0,p_d,$p_d$,$p_d$: electric dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,x1,theta,$\theta$,$\theta$: angle from dipole axis,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman55,FeynmanIICh6Eq11,II.6.11,Electric potential from dipole,Physics,Electromagnetism,Dipole Field,x2,r,$r$,$r$: distance from dipole,"r \in [1e-10, 1e-08]","$r \in [1e-10, 1e-08]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x0,p_d,$p_d$,$p_d$: electric dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x1,z,$z$,$z$: Cartesian z-coordinate,"z \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]","$z \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x2,r,$r$,$r$: radial distance from dipole,"r \in [1e-10, 1e-08]","$r \in [1e-10, 1e-08]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x3,x,$x$,$x$: Cartesian x-coordinate,"x \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]","$x \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]$"
Feynman56,FeynmanIICh6Eq15a,II.6.15a,Electric field component from dipole (cylindrical coords),Physics,Electromagnetism,Dipole Field,x4,y,$y$,$y$: Cartesian y-coordinate,"y \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]","$y \in [-1e-08, -1e-10] \cup [1e-10, 1e-08]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,x0,p_d,$p_d$,$p_d$: electric dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,x1,theta,$\theta$,$\theta$: polar angle from dipole axis,"\theta \in [0, \pi]","$\theta \in [0, \pi]$"
Feynman57,FeynmanIICh6Eq15b,II.6.15b,Electric field from dipole (spherical coords),Physics,Electromagnetism,Dipole Field,x2,r,$r$,$r$: radial distance from dipole,"r \in [1e-10, 1e-08]","$r \in [1e-10, 1e-08]$"
Feynman58,FeynmanIICh8Eq7,II.8.7,Capacitance of spherical conductor,Physics,Electromagnetism,Capacitance,x0,q,$q$,$q$: charge,"q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]","$q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]$"
Feynman58,FeynmanIICh8Eq7,II.8.7,Capacitance of spherical conductor,Physics,Electromagnetism,Capacitance,x1,d,$d$,$d$: radius,"d \in [1e-12, 1e-10]","$d \in [1e-12, 1e-10]$"
Feynman59,FeynmanIICh8Eq31,II.8.31,Electric field energy density,Physics,Electromagnetism,Energy Density,x0,Ef,$Ef$,$Ef$: electric field magnitude,"Ef \in [10.0, 1000.0]","$Ef \in [10.0, 1000.0]$"
Feynman60,FeynmanIICh10Eq9,II.10.9,Electric field in dielectric,Physics,Electromagnetism,Dielectric Materials,x0,sigma_den,$\sigma_{den}$,$\sigma_{den}$: charge density,"\sigma_{den} \in [-0.1, -0.001] \cup [0.001, 0.1]","$\sigma_{den} \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman60,FeynmanIICh10Eq9,II.10.9,Electric field in dielectric,Physics,Electromagnetism,Dielectric Materials,x1,chi,$\chi$,$\chi$: susceptibility,"\chi \in [1.0, 100.0]","$\chi \in [1.0, 100.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,x0,q,$q$,$q$: particle charge,"q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]","$q \in [-1e-09, -1e-11] \cup [1e-11, 1e-09]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,x1,Ef,$Ef$,$Ef$: driving electric field,"Ef \in [1e-09, 1e-07]","$Ef \in [1e-09, 1e-07]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,x2,m,$m$,$m$: particle mass,"m \in [1e-28, 1e-26]","$m \in [1e-28, 1e-26]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,x3,omega_0,$\omega_0$,$\omega_0$: natural frequency,"\omega_0 \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]","$\omega_0 \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]$"
Feynman61,FeynmanIICh11Eq3,II.11.3,Driven harmonic oscillator amplitude,Physics,Classical Mechanics,Forced Oscillation,x4,omega,$\omega$,$\omega$: driving frequency,"\omega \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]","$\omega \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,x0,n_0,$n_0$,$n_0$: reference number density,"n_0 \in [1e+27, 1e+29]","$n_0 \in [1e+27, 1e+29]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,x1,p_d,$p_d$,$p_d$: molecular dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,x2,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,x3,theta,$\theta$,$\theta$: angle between field and dipole,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman62,FeynmanIICh11Eq17,II.11.17,Polarization density (Langevin function approximation),Physics,Electromagnetism,Polarization,x4,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,x0,n_rho,$n_{\rho}$,$n_{\rho}$: molecular number density,"n_{\rho} \in [1e+23, 1e+25]","$n_{\rho} \in [1e+23, 1e+25]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,x1,p_d,$p_d$,$p_d$: molecular dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,x2,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman63,FeynmanIICh11Eq20,II.11.20,Polarization (electric susceptibility),Physics,Electromagnetism,Polarization,x3,T,$T$,$T$: absolute temperature,"T \in [10.0, 1000.0]","$T \in [10.0, 1000.0]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,x0,n,$n$,$n$: molecular number density,"n \in [1e+23, 1e+25]","$n \in [1e+23, 1e+25]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,x1,alpha,$\alpha$,$\alpha$: molecular polarizability,"\alpha \in [1e-33, 1e-31]","$\alpha \in [1e-33, 1e-31]$"
Feynman64,FeynmanIICh11Eq27,II.11.27,Clausius-Mossotti relation (polarization),Physics,Electromagnetism,Dielectric Materials,x2,Ef,$Ef$,$Ef$: applied electric field,"Ef \in [10.0, 1000.0]","$Ef \in [10.0, 1000.0]$"
Feynman65,FeynmanIICh11Eq28,II.11.28,Dielectric constant from polarizability,Physics,Electromagnetism,Dielectric Materials,x0,n,$n$,$n$: molecular number density,"n \in [1e+23, 1e+25]","$n \in [1e+23, 1e+25]$"
Feynman65,FeynmanIICh11Eq28,II.11.28,Dielectric constant from polarizability,Physics,Electromagnetism,Dielectric Materials,x1,alpha,$\alpha$,$\alpha$: molecular polarizability,"\alpha \in [1e-33, 1e-31]","$\alpha \in [1e-33, 1e-31]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,x0,I,$I$,$I$: electric current,"I \in [-0.1, -0.001] \cup [0.001, 0.1]","$I \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman66,FeynmanIICh13Eq17,II.13.17,Magnetic field from current (Biot-Savart),Physics,Electromagnetism,Magnetic Field,x1,r,$r$,$r$: distance from wire,"r \in [0.001, 0.1]","$r \in [0.001, 0.1]$"
Feynman67,FeynmanIICh13Eq23,II.13.23,Relativistic charge density,Physics,Relativity,Charge Density,x0,rho_c_0,$\rho_{c_0}$,$\rho_{c_0}$: rest charge density,"\rho_{c_0} \in [1e+27, 1e+29]","$\rho_{c_0} \in [1e+27, 1e+29]$"
Feynman67,FeynmanIICh13Eq23,II.13.23,Relativistic charge density,Physics,Relativity,Charge Density,x1,v,$v$,$v$: velocity,"v \in [1000000.0, 100000000.0]","$v \in [1000000.0, 100000000.0]$"
Feynman68,FeynmanIICh13Eq34,II.13.34,Relativistic current density,Physics,Relativity,Current Density,x0,rho_c_0,$\rho_{c_0}$,$\rho_{c_0}$: rest charge density,"\rho_{c_0} \in [1e+27, 1e+29]","$\rho_{c_0} \in [1e+27, 1e+29]$"
Feynman68,FeynmanIICh13Eq34,II.13.34,Relativistic current density,Physics,Relativity,Current Density,x1,v,$v$,$v$: velocity,"v \in [1000000.0, 100000000.0]","$v \in [1000000.0, 100000000.0]$"
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,x0,mom,$mom$,$mom$: magnetic dipole moment,"mom \in [-1e-23, -1e-25] \cup [1e-25, 1e-23]","$mom \in [-1e-23, -1e-25] \cup [1e-25, 1e-23]$"
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,x1,B,$B$,$B$: magnetic field strength,"B \in [-0.1, -0.001] \cup [0.001, 0.1]","$B \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,x2,theta,$\theta$,$\theta$: angle between field and moment,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,x0,p_d,$p_d$,$p_d$: electric dipole moment,"p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]","$p_d \in [-1e-20, -1e-22] \cup [1e-22, 1e-20]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,x1,Ef,$Ef$,$Ef$: electric field strength,"Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,x2,theta,$\theta$,$\theta$: angle between field and dipole,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,x0,q,$q$,$q$: charge,"q \in [-0.1, -0.001] \cup [0.001, 0.1]","$q \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,x1,r,$r$,$r$: distance,"r \in [1.0, 100.0]","$r \in [1.0, 100.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,x2,v,$v$,$v$: velocity,"v \in [1000000.0, 100000000.0]","$v \in [1000000.0, 100000000.0]$"
